What Is the "Altoids Effect," and Is It Real?	http://urbanlegends.about.com/od/sex/fl/Altoids-and-Oral-Sex.htm
Altoids, Oral Sex and the Presidency	http://urbanlegends.about.com/od/sex/a/altoids.htm
The Story of Tiresias, the First Transgendered Person in Folklore	http://urbanlegends.about.com/od/sex/a/tiresias.htm
Rod Stewart Had WHAT Pumped Out of His Stomach?	http://urbanlegends.about.com/cs/celebrities/a/stomach_pump.htm
Here's What the Groom Did When He Found Out About the Bride and Best Man	http://urbanlegends.about.com/od/sex/a/grooms_revenge.htm
When the Craigslist Gold Digger Met Her Match	http://urbanlegends.about.com/od/sex/a/gold_digger.htm
"Earth Didn't Move" for Astronauts, NASA Says	http://urbanlegends.about.com/od/sex/a/astronauts_sex.htm
Did a Study Say Fellatio Decreases Risk of Breast Cancer in Women?	http://urbanlegends.about.com/od/medical/a/Fellatio-Breast-Cancer.htm
Internet Tall Tale About "Gerbilling" Still Makes the Rounds	http://urbanlegends.about.com/od/sex/fl/Gerbilling-Mishap-Injures-Two.htm
They Don't Call Them "Darwin Awards" for Nothing	http://urbanlegends.about.com/od/darwinawards/a/survival_of_the_silliest.htm
Ladies and Gentlemen, the World's First Male Pregnancy!	http://urbanlegends.about.com/od/medical/a/male_pregnancy.htm
The Man on Page 602	http://urbanlegends.about.com/od/sex/a/catalog.htm
How the Groom Got Revenge on His Cheating Bride	http://urbanlegends.about.com/od/sex/a/mastercard_wed.htm
What About Those "Spermicidal" Properties of Mountain Dew?	http://urbanlegends.about.com/od/fooddrink/a/mountain_dew.htm
That Study Linking Staring at Women's Breasts and Men's Health? Hoax.	http://urbanlegends.about.com/od/medical/a/ogling_breasts.htm
Can This "Suggestive" 1930s Mickey Mouse Milk Ad Possibly Be Real?	http://urbanlegends.about.com/od/humo1/ss/Mickey-Mouse-Milk-Ad.htm
The Naked Truth About Slumber Parties	http://urbanlegends.about.com/cs/sexromance/a/slumber_party.htm
Can Necrophiliacs Spread Disease to a Living Person?	http://urbanlegends.about.com/od/sex/a/necrophiliac.htm
Whatever Happened to John Dillinger's Private Parts?	http://urbanlegends.about.com/od/celebrities/a/john_dillinger.htm
Richard Gere and the Gerbil: A Moral Tale	http://urbanlegends.about.com/od/celebrities/a/richard_gere.htm
Injured Your Scrotum? Grab a Staple Gun and Fix It!	http://urbanlegends.about.com/od/humor/fl/Scrotum-Self-Repair.htm
The Trouble with Good Samaritans	http://urbanlegends.about.com/od/horrors/a/The-Knife-In-The-Briefcase.htm
She Superglued His What to His WHAT?	http://urbanlegends.about.com/cs/business/a/superglue.htm
The Funniest (and Naughtiest) Moment on "The Newlywed Game"	http://urbanlegends.about.com/od/sex/a/in_the_butt_bob.htm
Superglue: Its Uses and Abuses	http://urbanlegends.about.com/cs/business/a/superglue.htm
That'd Be the Butt, Bob	http://urbanlegends.about.com/od/sex/a/in_the_butt_bob.htm
What Could Be More Natural?	http://urbanlegends.about.com/od/pockettales/fl/Sex-in-Mythology-What-Could-Be-More-Natural.htm
AIDS Mary	http://www.snopes.com/horrors/madmen/aidsmary.htm
Unbridled Lust	http://www.snopes.com/sex/bestial/catherin.htm
The Vatican Owns the World's Largest Porn Collection?	http://www.snopes.com/sex/porn/vatican.htm
Why Does It Taste so Salty?	http://www.snopes.com/college/sex/salty.htm
