What Is the "Altoids Effect," and Is It Real?	http://urbanlegends.about.com/od/sex/fl/Altoids-and-Oral-Sex.htm	sex
Altoids, Oral Sex and the Presidency	http://urbanlegends.about.com/od/sex/a/altoids.htm	sex
The Story of Tiresias, the First Transgendered Person in Folklore	http://urbanlegends.about.com/od/sex/a/tiresias.htm	sex
Rod Stewart Had WHAT Pumped Out of His Stomach?	http://urbanlegends.about.com/cs/celebrities/a/stomach_pump.htm	sex
Here's What the Groom Did When He Found Out About the Bride and Best Man	http://urbanlegends.about.com/od/sex/a/grooms_revenge.htm	sex
When the Craigslist Gold Digger Met Her Match	http://urbanlegends.about.com/od/sex/a/gold_digger.htm	sex
"Earth Didn't Move" for Astronauts, NASA Says	http://urbanlegends.about.com/od/sex/a/astronauts_sex.htm	sex
Did a Study Say Fellatio Decreases Risk of Breast Cancer in Women?	http://urbanlegends.about.com/od/medical/a/Fellatio-Breast-Cancer.htm	sex
Internet Tall Tale About "Gerbilling" Still Makes the Rounds	http://urbanlegends.about.com/od/sex/fl/Gerbilling-Mishap-Injures-Two.htm	sex
They Don't Call Them "Darwin Awards" for Nothing	http://urbanlegends.about.com/od/darwinawards/a/survival_of_the_silliest.htm	sex
Ladies and Gentlemen, the World's First Male Pregnancy!	http://urbanlegends.about.com/od/medical/a/male_pregnancy.htm	sex
The Man on Page 602	http://urbanlegends.about.com/od/sex/a/catalog.htm	sex
How the Groom Got Revenge on His Cheating Bride	http://urbanlegends.about.com/od/sex/a/mastercard_wed.htm	sex
What About Those "Spermicidal" Properties of Mountain Dew?	http://urbanlegends.about.com/od/fooddrink/a/mountain_dew.htm	sex
That Study Linking Staring at Women's Breasts and Men's Health? Hoax.	http://urbanlegends.about.com/od/medical/a/ogling_breasts.htm	sex
Can This "Suggestive" 1930s Mickey Mouse Milk Ad Possibly Be Real?	http://urbanlegends.about.com/od/humo1/ss/Mickey-Mouse-Milk-Ad.htm	sex
The Naked Truth About Slumber Parties	http://urbanlegends.about.com/cs/sexromance/a/slumber_party.htm	sex
Can Necrophiliacs Spread Disease to a Living Person?	http://urbanlegends.about.com/od/sex/a/necrophiliac.htm	sex
Whatever Happened to John Dillinger's Private Parts?	http://urbanlegends.about.com/od/celebrities/a/john_dillinger.htm	sex
Richard Gere and the Gerbil: A Moral Tale	http://urbanlegends.about.com/od/celebrities/a/richard_gere.htm	sex
Injured Your Scrotum? Grab a Staple Gun and Fix It!	http://urbanlegends.about.com/od/humor/fl/Scrotum-Self-Repair.htm	sex
The Trouble with Good Samaritans	http://urbanlegends.about.com/od/horrors/a/The-Knife-In-The-Briefcase.htm	sex
She Superglued His What to His WHAT?	http://urbanlegends.about.com/cs/business/a/superglue.htm	sex
The Funniest (and Naughtiest) Moment on "The Newlywed Game"	http://urbanlegends.about.com/od/sex/a/in_the_butt_bob.htm	sex
Superglue: Its Uses and Abuses	http://urbanlegends.about.com/cs/business/a/superglue.htm	sex
That'd Be the Butt, Bob	http://urbanlegends.about.com/od/sex/a/in_the_butt_bob.htm	sex
What Could Be More Natural?	http://urbanlegends.about.com/od/pockettales/fl/Sex-in-Mythology-What-Could-Be-More-Natural.htm	sex
AIDS Mary	http://www.snopes.com/horrors/madmen/aidsmary.htm	sex
Unbridled Lust	http://www.snopes.com/sex/bestial/catherin.htm	sex
The Vatican Owns the World's Largest Porn Collection?	http://www.snopes.com/sex/porn/vatican.htm	sex
Why Does It Taste so Salty?	http://www.snopes.com/college/sex/salty.htm	sex
